StrandDecidingMethod,Group,Sample,SamplePath,A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
StrandedData,Editing_Index_Unknown,SRR8611836,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611836/SRR8611836.Aligned.sortedByCoord.out.bam,0.007868095,0.105844163,0.014175243,0.014247545,0.004749633,0.037506392
StrandedData,Editing_Index_Unknown,SRR8611769,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611769/SRR8611769.Aligned.sortedByCoord.out.bam,0.009603038,0.104856292,0.015080867,0.014479616,0.010829168,0.042869763
StrandedData,Editing_Index_Unknown,SRR8611832,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611832/SRR8611832.Aligned.sortedByCoord.out.bam,0.009457839,0.073124239,0.013648166,0.015084806,0.007024789,0.043227102
StrandedData,Editing_Index_Unknown,SRR8611772,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611772/SRR8611772.Aligned.sortedByCoord.out.bam,0.009308643,0.109551373,0.017162689,0.017724289,0.013113371,0.04221517
StrandedData,Editing_Index_Unknown,SRR8611798,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611798/SRR8611798.Aligned.sortedByCoord.out.bam,0.013748381,0.150067229,0.0178568,0.019787009,0.007752143,0.055329418
StrandedData,Editing_Index_Unknown,SRR8611821,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611821/SRR8611821.Aligned.sortedByCoord.out.bam,0.007013383,0.079128881,0.011634067,0.014066116,0.005029989,0.036497389
StrandedData,Editing_Index_Unknown,SRR8611801,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611801/SRR8611801.Aligned.sortedByCoord.out.bam,0.009049639,0.082057893,0.009598666,0.012035209,0.004382386,0.030360194
StrandedData,Editing_Index_Unknown,SRR8611824,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611824/SRR8611824.Aligned.sortedByCoord.out.bam,0.006820449,0.082756842,0.011533652,0.012152454,0.004764971,0.034656136
StrandedData,Editing_Index_Unknown,SRR8611888,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611888/SRR8611888.Aligned.sortedByCoord.out.bam,0.004924783,0.071499876,0.008223954,0.012021294,0.003038805,0.029184817
StrandedData,Editing_Index_Unknown,SRR8611851,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611851/SRR8611851.Aligned.sortedByCoord.out.bam,0.007476867,0.093392623,0.013041447,0.01566219,0.007309633,0.042599621
StrandedData,Editing_Index_Unknown,SRR8611792,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611792/SRR8611792.Aligned.sortedByCoord.out.bam,0.010459725,0.158831802,0.015431614,0.017721653,0.008024589,0.051704249
StrandedData,Editing_Index_Unknown,SRR8611813,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611813/SRR8611813.Aligned.sortedByCoord.out.bam,0.007875012,0.074210524,0.010401974,0.012242064,0.006109923,0.032654148
StrandedData,Editing_Index_Unknown,SRR8611826,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611826/SRR8611826.Aligned.sortedByCoord.out.bam,0.007215149,0.080784667,0.01127783,0.013255425,0.004410512,0.037827546
StrandedData,Editing_Index_Unknown,SRR8611860,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611860/SRR8611860.Aligned.sortedByCoord.out.bam,0.009220005,0.098847751,0.013642282,0.017029878,0.007684932,0.044051171
StrandedData,Editing_Index_Unknown,SRR8611838,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611838/SRR8611838.Aligned.sortedByCoord.out.bam,0.006148318,0.087728641,0.011778824,0.013767598,0.00363874,0.038179024
StrandedData,Editing_Index_Unknown,SRR8611803,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611803/SRR8611803.Aligned.sortedByCoord.out.bam,0.008319211,0.102547302,0.010404861,0.012842878,0.004690611,0.0340031
StrandedData,Editing_Index_Unknown,SRR8611783,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611783/SRR8611783.Aligned.sortedByCoord.out.bam,0.010165727,0.113980438,0.017548491,0.017585653,0.005163871,0.042777567
StrandedData,Editing_Index_Unknown,SRR8611789,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611789/SRR8611789.Aligned.sortedByCoord.out.bam,0.00632523,0.077692133,0.008433463,0.010830213,0.003484759,0.02954996
StrandedData,Editing_Index_Unknown,SRR8611822,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611822/SRR8611822.Aligned.sortedByCoord.out.bam,0.004962538,0.068556165,0.008836691,0.010728497,0.003899094,0.029195479
StrandedData,Editing_Index_Unknown,SRR8611758,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611758/SRR8611758.Aligned.sortedByCoord.out.bam,0.012107934,0.114274261,0.020024552,0.021942329,0.007826416,0.052244653
StrandedData,Editing_Index_Unknown,SRR8611882,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611882/SRR8611882.Aligned.sortedByCoord.out.bam,0.006448886,0.072844235,0.011346787,0.013946135,0.004050763,0.034122021
StrandedData,Editing_Index_Unknown,SRR8611810,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611810/SRR8611810.Aligned.sortedByCoord.out.bam,0.010413028,0.128046662,0.015963459,0.016398416,0.009722073,0.050492667
StrandedData,Editing_Index_Unknown,SRR8611777,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611777/SRR8611777.Aligned.sortedByCoord.out.bam,0.009201656,0.10232031,0.012888145,0.0173895,0.012234128,0.039221889
StrandedData,Editing_Index_Unknown,SRR8611868,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611868/SRR8611868.Aligned.sortedByCoord.out.bam,0.011944704,0.092791202,0.013093664,0.018142732,0.010394438,0.041626252
StrandedData,Editing_Index_Unknown,SRR8611872,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611872/SRR8611872.Aligned.sortedByCoord.out.bam,0.007046981,0.069900605,0.009957401,0.012658968,0.00826494,0.028313733
StrandedData,Editing_Index_Unknown,SRR8611866,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611866/SRR8611866.Aligned.sortedByCoord.out.bam,0.010037271,0.07305701,0.012981496,0.01360452,0.010962393,0.038501668
StrandedData,Editing_Index_Unknown,SRR8611892,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611892/SRR8611892.Aligned.sortedByCoord.out.bam,0.006328069,0.078352906,0.011272625,0.012454427,0.004754928,0.033947844
StrandedData,Editing_Index_Unknown,SRR8611858,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611858/SRR8611858.Aligned.sortedByCoord.out.bam,0.008182562,0.08426356,0.012746632,0.013573071,0.00649343,0.035841502
StrandedData,Editing_Index_Unknown,SRR8611852,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611852/SRR8611852.Aligned.sortedByCoord.out.bam,0.00883316,0.106382503,0.014490447,0.018850441,0.007984092,0.043416398
StrandedData,Editing_Index_Unknown,SRR8611843,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611843/SRR8611843.Aligned.sortedByCoord.out.bam,0.005774228,0.070559132,0.008939816,0.011624103,0.003693367,0.032887602
StrandedData,Editing_Index_Unknown,SRR8611874,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611874/SRR8611874.Aligned.sortedByCoord.out.bam,0.007806688,0.08884162,0.015649681,0.015804948,0.005656266,0.039890136
StrandedData,Editing_Index_Unknown,SRR8611853,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611853/SRR8611853.Aligned.sortedByCoord.out.bam,0.009074217,0.100508587,0.018258784,0.019616906,0.008638529,0.044673886
StrandedData,Editing_Index_Unknown,SRR8611818,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611818/SRR8611818.Aligned.sortedByCoord.out.bam,0.011527211,0.162735491,0.017183112,0.020721027,0.007412947,0.048786213
StrandedData,Editing_Index_Unknown,SRR8611845,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611845/SRR8611845.Aligned.sortedByCoord.out.bam,0.010082474,0.115670257,0.016889592,0.017321053,0.005249438,0.050476748
StrandedData,Editing_Index_Unknown,SRR8611797,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611797/SRR8611797.Aligned.sortedByCoord.out.bam,0.006793329,0.070679161,0.008399369,0.011357711,0.00420292,0.02777794
StrandedData,Editing_Index_Unknown,SRR8611886,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611886/SRR8611886.Aligned.sortedByCoord.out.bam,0.009037824,0.0975696,0.016362019,0.015256003,0.006393558,0.041446723
StrandedData,Editing_Index_Unknown,SRR8611835,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611835/SRR8611835.Aligned.sortedByCoord.out.bam,0.01083931,0.155955501,0.016338159,0.018762654,0.006398372,0.056857663
StrandedData,Editing_Index_Unknown,SRR8611842,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611842/SRR8611842.Aligned.sortedByCoord.out.bam,0.009496317,0.112308548,0.017102281,0.018063004,0.005176313,0.048636195
StrandedData,Editing_Index_Unknown,SRR8611864,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611864/SRR8611864.Aligned.sortedByCoord.out.bam,0.007819288,0.091375251,0.010963657,0.010777421,0.008855366,0.03055518
StrandedData,Editing_Index_Unknown,SRR8611830,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611830/SRR8611830.Aligned.sortedByCoord.out.bam,0.008489533,0.086673056,0.014763479,0.017219022,0.007334753,0.043301981
StrandedData,Editing_Index_Unknown,SRR8611827,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611827/SRR8611827.Aligned.sortedByCoord.out.bam,0.006035841,0.064234869,0.00895919,0.014080161,0.004054522,0.031432146
StrandedData,Editing_Index_Unknown,SRR8611780,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611780/SRR8611780.Aligned.sortedByCoord.out.bam,0.007862699,0.100576669,0.011398793,0.013547917,0.010370771,0.033932706
StrandedData,Editing_Index_Unknown,SRR8611879,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611879/SRR8611879.Aligned.sortedByCoord.out.bam,0.007538819,0.084129823,0.012250004,0.016519476,0.004786889,0.041404716
StrandedData,Editing_Index_Unknown,SRR8611831,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611831/SRR8611831.Aligned.sortedByCoord.out.bam,0.008163088,0.11791716,0.015476931,0.016283103,0.005999655,0.040965457
StrandedData,Editing_Index_Unknown,SRR8611880,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611880/SRR8611880.Aligned.sortedByCoord.out.bam,0.005415139,0.074287231,0.01197146,0.01235536,0.002994371,0.03379944
StrandedData,Editing_Index_Unknown,SRR8611761,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611761/SRR8611761.Aligned.sortedByCoord.out.bam,0.012980143,0.145523618,0.024196446,0.02342819,0.009398699,0.052062232
StrandedData,Editing_Index_Unknown,SRR8611865,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611865/SRR8611865.Aligned.sortedByCoord.out.bam,0.007496211,0.062708971,0.010484475,0.013024458,0.009076988,0.030177148
StrandedData,Editing_Index_Unknown,SRR8611781,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611781/SRR8611781.Aligned.sortedByCoord.out.bam,0.008206959,0.092336025,0.012138983,0.012390258,0.004973329,0.03227568
StrandedData,Editing_Index_Unknown,SRR8611817,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611817/SRR8611817.Aligned.sortedByCoord.out.bam,0.009308124,0.100464277,0.01579458,0.014370377,0.004836646,0.03881816
StrandedData,Editing_Index_Unknown,SRR8611794,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611794/SRR8611794.Aligned.sortedByCoord.out.bam,0.011977314,0.114882575,0.014877638,0.014828212,0.006234052,0.049142902
