Sample,A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex,Phase,treatment,zt
SRR8611882,0.006448886,0.072844235,0.011346787,0.013946135,0.004050763,0.034122021,Active phase (ZT15),Sedentary,0
SRR8611883,0.008462981,0.096331224,0.016437254,0.019979425,0.005908969,0.044322783,Active phase (ZT15),Exercise,0
SRR8611884,0.009067934,0.087232843,0.011876882,0.013964676,0.004655325,0.038781139,Active phase (ZT15),Sedentary,0
SRR8611885,0.010000788,0.097699712,0.017632893,0.016428357,0.005131358,0.04187425,Active phase (ZT15),Exercise,4
SRR8611886,0.009037824,0.0975696,0.016362019,0.015256003,0.006393558,0.041446723,Active phase (ZT15),Sedentary,4
SRR8611887,0.007101625,0.073750132,0.010556105,0.013935758,0.006005581,0.037751363,Active phase (ZT15),Exercise,4
SRR8611888,0.004924783,0.071499876,0.008223954,0.012021294,0.003038805,0.029184817,Active phase (ZT15),Sedentary,4
SRR8611889,0.009854447,0.108445856,0.015050346,0.017205591,0.005945851,0.043022553,Active phase (ZT15),Exercise,8
SRR8611890,0.008422518,0.103132065,0.016195892,0.01547514,0.005847704,0.041973981,Active phase (ZT15),Sedentary,8
SRR8611891,0.007712425,0.088679447,0.014196952,0.014252362,0.005725286,0.042208582,Active phase (ZT15),Exercise,8
SRR8611892,0.006328069,0.078352906,0.011272625,0.012454427,0.004754928,0.033947844,Active phase (ZT15),Sedentary,8
SRR8611893,0.007813494,0.09432194,0.015097439,0.016733492,0.004951548,0.042053355,Active phase (ZT15),Exercise,12
SRR8611894,0.013718631,0.142354172,0.021273622,0.022298762,0.008037923,0.057686267,Active phase (ZT15),Sedentary,12
SRR8611895,0.00859399,0.094116899,0.012691671,0.014980332,0.005716296,0.039717887,Active phase (ZT15),Exercise,12
SRR8611896,0.007215389,0.087882786,0.0133569,0.014058314,0.004966704,0.040826942,Active phase (ZT15),Sedentary,12
